"","dateRep","day","month","year","cases","deaths","geoId","continentExp","countryterritoryCode","popData2018","countriesAndTerritories"
"85","21/03/2020",21,3,2020,2,0,"AF","Asia","AFG",37172386,"Afghanistan"
"86","20/03/2020",20,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"87","19/03/2020",19,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"88","18/03/2020",18,3,2020,1,0,"AF","Asia","AFG",37172386,"Afghanistan"
"89","17/03/2020",17,3,2020,5,0,"AF","Asia","AFG",37172386,"Afghanistan"
"90","16/03/2020",16,3,2020,6,0,"AF","Asia","AFG",37172386,"Afghanistan"
"91","15/03/2020",15,3,2020,3,0,"AF","Asia","AFG",37172386,"Afghanistan"
"92","11/03/2020",11,3,2020,3,0,"AF","Asia","AFG",37172386,"Afghanistan"
"93","08/03/2020",8,3,2020,3,0,"AF","Asia","AFG",37172386,"Afghanistan"
"94","02/03/2020",2,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"95","01/03/2020",1,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"96","29/02/2020",29,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"97","28/02/2020",28,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"98","27/02/2020",27,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"99","26/02/2020",26,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"100","25/02/2020",25,2,2020,1,0,"AF","Asia","AFG",37172386,"Afghanistan"
"101","24/02/2020",24,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"102","23/02/2020",23,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"103","22/02/2020",22,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"104","21/02/2020",21,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"105","20/02/2020",20,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"106","19/02/2020",19,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"107","18/02/2020",18,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"108","17/02/2020",17,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"109","16/02/2020",16,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"110","15/02/2020",15,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"111","14/02/2020",14,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"112","13/02/2020",13,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"113","12/02/2020",12,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"114","11/02/2020",11,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"115","10/02/2020",10,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"116","09/02/2020",9,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"117","08/02/2020",8,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"118","07/02/2020",7,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"119","06/02/2020",6,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"120","05/02/2020",5,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"121","04/02/2020",4,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"122","03/02/2020",3,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"123","02/02/2020",2,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"124","01/02/2020",1,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"125","31/01/2020",31,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"126","30/01/2020",30,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"127","29/01/2020",29,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"128","28/01/2020",28,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"129","27/01/2020",27,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"130","26/01/2020",26,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"131","25/01/2020",25,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"132","24/01/2020",24,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"133","23/01/2020",23,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"134","22/01/2020",22,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"135","21/01/2020",21,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"136","20/01/2020",20,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"137","19/01/2020",19,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"138","18/01/2020",18,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"139","17/01/2020",17,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
